facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
MAINA DISP,NYAHURURU,MUTITU,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.071787,36.3448
MATANYA DISP,LAMURIA,TIGITHI,LAIKIPIA,LAIKIPIA NORTH,4,MOH,-0.076315,36.963679
MUHOTETU DISP,NGARUA,MUHOTETU,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.295105,36.3384
MURAMATI DISP,CENTRAL,DAIGA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.121427,37.0592
MUTARA DISP,RUMURUTI,MUTARA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.084521,36.6684
MUTHENGERA DISP,RUMURUTI,MUTHENGERA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.219121,36.3167
NANYUKI GK PRISON DISP,CENTRAL,NANYUKI,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.017426,37.061102
NGOBIT DISP,LAMURIA,NGOBIT,LAIKIPIA,LAIKIPIA NORTH,4,MOH,-0.089157,36.6445
NORTH MARMANET DISP,NYAHURURU,MAINA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.03,36.37
OL BOSOIT DISP,CENTRAL,NANYUKI,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.016111,37.075622
OL MORAN DISP,NGARUA,SIPILI,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.544768,36.4773
OL PEJETA DISP,LAMURIA,SIRIMA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.073666,36.79
OR- ARABEL DISP,NGARUA,GITUAMBA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.3,36.3
PESI DISP,RUMURUTI,SALAAMA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.093205,36.5707
SALAMA DISP,RUMURUTI,SALAAMA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.140788,36.464975
SIPILI DISP,NGARUA,SIPILI,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.424012,36.394501
SWEET WATERS DISP,CENTRAL,MARURA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.018049,37.019244
TIGITHI DISP,LAMURIA,TIGITHI,LAIKIPIA,LAIKIPIA NORTH,4,MOH,-0.032712,36.9636
CHEPTONGEI DISP,CHEBIEMIT,KUSERWO,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.967819,35.5001
EMBABUT DISP,TIRAP,EMBOBUT,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.2512,35.5412
KABETWA DISP,TOT,MOKORO,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.17124,35.6512
KABIEGO DISP,KAPYEGO,KAPYEGO,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.1746,35.4552
KABIKOS DISP,KAPCHEROP,KOISUNGUR,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.0315,35.3937
KAKMTI DISP,TIRAP,KIPKANER,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.1123,35.6012
KAMOGO DISP,TIRAP,KIPKANER,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.0923,35.6023
KAMOI DISP,KAPCHEROP,KAMOI,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.08834,35.2563
KAPLENGE DISP,CHEBIEMIT,KUSERWO,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.99123,35.4523
KONDABILET DISP,KAPCHEROP,CHEBORORWA,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.942465,35.4325
MAINA DISP,TIRAP,KOIBATEK,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.03211,35.5712
MATIRA DISP,KAPYEGO,KAPYEGO,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.12233,35.5024
MOGIL DISP,TUNYO,KABAIMWA,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.06114,35.6415
SANGURURU DISP,KAPSOWAR,KOIBARAK,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.886607,35.5661
TENDEN DISP,KAPCHEROP,CHERANGANY,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.01964,35.3643
TUNYO DISP,TUNYO,ARROR,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.93241,35.6024
TUTURUNG DISP,TIRAP,KIPKANER,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,1.12009,35.6062
ASTU GILGIL DISP,GILGIL,GILGIL,NAKURU,SUBUKIA,4,MOH,-0.46977,36.33384
BAHATI DISP,BAHATI,BAHATI,NAKURU,SUBUKIA,4,MOH,-0.15104,36.15276
BANITA DISP,RONGAI,MAKONGENI,NAKURU,SUBUKIA,4,MOH,-0.07274,36.07525
CHEPAKUNDI DISP,OLENGURUONE,KAPLAMAI,NAKURU,SUBUKIA,4,MOH,-0.67506,35.6553
EBURRU DISP,GILGIL,GILGIL,NAKURU,SUBUKIA,4,MOH,-0.584415,36.307
EMETIK DISP,OLENGURUONE,EMITIK,NAKURU,SUBUKIA,4,MOH,-0.62071,35.60274
ENGASHURA DISP,BAHATI,BAHATI,NAKURU,SUBUKIA,4,MOH,-0.25569,36.13368
IKUMBI DISP,KERINGET,CHEMANER,NAKURU,SUBUKIA,4,MOH,-0.419557,35.6018
INDUSTRIAL AREA DISP,NAKURU MUNI.,KAPTEMBWO,NAKURU,SUBUKIA,4,MOH,-0.28027,36.04289
KABARAK HIGH SCHOOL H C,RONGAI,KAMPI YA MOTO,NAKURU,SUBUKIA,4,MOH,-0.16334,35.967
KABATINI DISP,BAHATI,BAHATI,NAKURU,SUBUKIA,4,MOH,-0.21116,36.16205
KABAZI DISP,BAHATI,KABAZI,NAKURU,SUBUKIA,4,MOH,-0.07341,36.16727
KAMPI YA MOTO DISP,RONGAI,KAMPI YA MOTO,NAKURU,SUBUKIA,4,MOH,-0.138485,35.9473
KAMWAURA DISP/IKUMBI DISP,KERINGET,TEMIYOTTA,NAKURU,SUBUKIA,4,MOH,-0.41059,35.57717
KAPKURES DISP,NAKURU MUNI.,BARUTI,NAKURU,SUBUKIA,4,MOH,-0.30815,36.03814
KAPSETEK DISP,NJORO,NJORO,NAKURU,SUBUKIA,4,MOH,-0.32,35.95
KAPSIMBEIYWO DISP,KERINGET,KAPSIMBEIYWO,NAKURU,SUBUKIA,4,MOH,-0.48331,35.72376
KARAGITA DISP,NAIVASHA,HELL'S GATE,NAKURU,SUBUKIA,4,MOH,-0.77405,36.43126
KARATE DISP,NAIVASHA,MALEWA,NAKURU,SUBUKIA,4,MOH,-0.68848,36.47842
KIAMBOGO DISP,GILGIL,KIAMBOGO,NAKURU,SUBUKIA,4,MOH,-0.607967,36.1657
KIANJOYA DISP,MAU NAROK,MAU NAROK,NAKURU,SUBUKIA,4,MOH,-0.54155,36.05639
LAKE NAKURU PARK DISP,NAKURU MUNI.,LAKE NAKURU,NAKURU,SUBUKIA,4,MOH,-0.372455,36.0571
LANGALANGA DISP,NAKURU MUNI.,CENTRAL,NAKURU,SUBUKIA,4,MOH,-0.29958,36.07136
LELECHWET DISP,RONGAI,BOROR,NAKURU,SUBUKIA,4,MOH,-0.2212,35.83034
LENGINET DISP,RONGAI,LENGINET,NAKURU,SUBUKIA,4,MOH,-0.20297,35.9802
LIKIA DISP,MAU NAROK,MAU NAROK,NAKURU,SUBUKIA,4,MOH,-0.53282,35.96498
LONGONOT DISP,NAIVASHA,LONGONOT,NAKURU,SUBUKIA,4,MOH,-0.88025,36.49549
MANGU DISP,RONGAI,LENGINET,NAKURU,SUBUKIA,4,MOH,-0.21836,35.95306
MARAIGUSHU DISP,NAIVASHA,NAIVASHA EAST,NAKURU,SUBUKIA,4,MOH,-0.74767,36.52529
MARIASHONI DISP,ELBURGON,MARIASHONI,NAKURU,SUBUKIA,4,MOH,-0.363296,35.7784
MOLO SOUTH DISP,KERINGET,NYOTA,NAKURU,SUBUKIA,4,MOH,-0.34235,35.66088
MUKINYAI DISP/SACHANGWAN,MOLO,SACHANGWAN,NAKURU,SUBUKIA,4,MOH,-0.20245,35.78406
MUTARAKWA DISP,NJORO,KIHINGO,NAKURU,SUBUKIA,4,MOH,-0.46006,35.98509
NAKURU WEST DISP,NAKURU MUNI.,KAPTEMBWO,NAKURU,SUBUKIA,4,MOH,-0.29119,36.06187
NDABIBI DISP,NAIVASHA,MOINDABI,NAKURU,SUBUKIA,4,MOH,-0.764975,36.2233
NDOINET DISP,KURESOI,KIPTORORO,NAKURU,SUBUKIA,4,MOH,-0.41324,35.53622
NESSUIT DISP,NJORO,NESSUIT,NAKURU,SUBUKIA,4,MOH,-0.39088,35.89834
NYAKIAMBI DISP,ELBURGON,MARIASHONI,NAKURU,SUBUKIA,4,MOH,-0.33124,35.86123
NYAMAMITHI DISP,MBOGOINI,WASEGES,NAKURU,SUBUKIA,4,MOH,0.11517,36.22108
NYAMATHI DISP,NAIVASHA,HELL'S GATE,NAKURU,SUBUKIA,4,MOH,-0.77738,36.51153
NYS GILGIL DISP,GILGIL,GILGIL,NAKURU,SUBUKIA,4,MOH,-0.47958,36.31161
NYS NAIVASHA DISP,NAIVASHA,NAIVASHA EAST,NAKURU,SUBUKIA,4,MOH,-0.64834,36.48788
OGILGEI DISP,NJORO,NGATA,NAKURU,SUBUKIA,4,MOH,-0.29438,35.9559
OLRONGAI DISP,RONGAI,KAMPI YA MOTO,NAKURU,SUBUKIA,4,MOH,-0.177176,36.0089
PWANI DISP,LARE,NAISHI,NAKURU,SUBUKIA,4,MOH,-0.39012,36.02324
RARE DISP,LARE,LARE,NAKURU,SUBUKIA,4,MOH,-0.44341,36.0069
ROCCO DISP,NAIVASHA,MALEWA,NAKURU,SUBUKIA,4,MOH,-0.75123,36.29123
STATE HOUSE NAKURU DISP,NAKURU MUNI.,CENTRAL,NAKURU,SUBUKIA,4,MOH,-0.28154,36.08157
TERET DISP,MAUCHE,TERET,NAKURU,SUBUKIA,4,MOH,-0.45114,35.94684
TINET DISP,KERINGET,TINET,NAKURU,SUBUKIA,4,MOH,-0.47866,35.61255
CHEPKUMIA DISP,KAPSABET,CHEPKUMA,NANDI,MOSOP,4,MOH,0.11292,34.9535
CHEPTERWAI DISP,KIPKAREN,KAPKOIMUR,NANDI,MOSOP,4,MOH,0.52203,34.9656
KABIEMIT DISP,KIPKAREN,KABIEMIT,NANDI,MOSOP,4,MOH,0.521044,35.073836
KABIRISANG DISP,KILIBWONI,KABIRIRSANG,NANDI,MOSOP,4,MOH,0.173029,35.1622
KABRISANG DISP,KILIBWONI,KABIRIRSANG,NANDI,MOSOP,4,MOH,0.171938,35.167341
KABUNYERIA DISP,NANDI HILLS,SIRET,NANDI,MOSOP,4,MOH,0.09436,35.2259
KAPCHUMBA DISP,KOSIRAI,NGECHEK,NANDI,MOSOP,4,MOH,0.287142,35.196595
KAPKOLEI DISP,ALDAI,KAPKOLEI,NANDI,MOSOP,4,MOH,0.01703,34.9996
KAPSABET FOREST DISP,KAPSABET,KAPSABET,NANDI,MOSOP,4,MOH,0.19234,35.0608
KAPSENGER DISP,ALDAI,TERIK,NANDI,MOSOP,4,MOH,-0.01034,34.757311
KAPSISIYWA DISP,KAPSABET,KAPSISIYWA,NANDI,MOSOP,4,MOH,0.312137,35.0656
KAPTUMEK DISP,ALDAI,MARABA,NANDI,MOSOP,4,MOH,-0.01964,34.8252
KEBEN DISP,KILIBWONI,KOILOT,NANDI,MOSOP,4,MOH,0.148469,35.313199
KIBWARENG DISP,ALDAI,KIBWARENG,NANDI,MOSOP,4,MOH,0.010753,34.9498
KIMONDI FOREST DISP,KAPSABET,KAPSABET,NANDI,MOSOP,4,MOH,0.18,35.05
KIMWANI DISP,NANDI HILLS,CHEMILIL,NANDI,MOSOP,4,MOH,0.007213,35.175167
KIPSAMOITE DISP,KABIYET,SANGALO,NANDI,MOSOP,4,MOH,0.32675,34.9779
KOBUJOI FOREST DISP,ALDAI,CHEBILAT,NANDI,MOSOP,4,MOH,0.06592,34.9359
KOMBE DISP,KAPSABET,KAPTEL,NANDI,MOSOP,4,MOH,0.24473,35.0404
KOYO DISP,KAPTUMO,KOYO,NANDI,MOSOP,4,MOH,0.036805,35.0542
LOLMININGAI DISP,KILIBWONI,LOLMININGAI,NANDI,MOSOP,4,MOH,0.24945,35.2292
MARABA DISP,ALDAI,MARABA,NANDI,MOSOP,4,MOH,0.00738,34.8999
MOSORIOT R H T C / COLLEGE DISP,KOSIRAI,KOSIRAI,NANDI,MOSOP,4,MOH,0.291822,35.15
NGECHEK DISP,KOSIRAI,NGECHEK,NANDI,MOSOP,4,MOH,0.304435,35.22366
SEREM DISP NANDI,ALDAI,MUGEN,NANDI,MOSOP,4,MOH,0.064964,34.8589
SERENGONI FOREST DISP,TINDERET,KAPKOROS,NANDI,MOSOP,4,MOH,0.07386,35.3645
SETEK S F T DISP,TINDERET,METEITEI,NANDI,MOSOP,4,MOH,0.00844,35.388
SIRET TEA DISP,NANDI HILLS,SIRET,NANDI,MOSOP,4,MOH,0.070201,35.245644
SOBAR RIVER DISP,TINDERET,KABIRER,NANDI,MOSOP,4,MOH,0.04726,35.3019
TAITO DISP,NANDI HILLS,SIRET,NANDI,MOSOP,4,MOH,0.087399,35.230986
ENAIBOR AJIKJIK DISP,MAU,UPPER MELILI,NAROK,NAROK SOUTH,4,MOH,-0.785478,36.1361
ENTOLTOL DISP,OLOKURTO,ENABELIBEL,NAROK,NAROK SOUTH,4,MOH,-0.940773,35.879847
ERRETO DISP,MAU,SUSWA,NAROK,NAROK SOUTH,4,MOH,-1.153255,36.201253
EWASO NYIRO DISP,CENTRAL,LOWER MELILI,NAROK,NAROK SOUTH,4,MOH,-1.10613,35.8072
KOJONGA DISP,MAU,ILDAMAT,NAROK,NAROK SOUTH,4,MOH,-0.987466,36.0485
MEGWARA DISP,MARA,SIANA,NAROK,NAROK SOUTH,4,MOH,-1.51594,35.4804
MORIJO LOITA DISP,LOITA,MORIJO LOITA,NAROK,NAROK SOUTH,4,MOH,-1.71902,35.8357
NKARETA DISP,CENTRAL,NKARETA,NAROK,NAROK SOUTH,4,MOH,-0.943775,35.791
NKORI-NKORI DISP,OLOLULUNGA,OLOLULUNGA,NAROK,NAROK SOUTH,4,MOH,-1.03713,35.519
OLCHORO DISP,MAU,OLCHORRO,NAROK,NAROK SOUTH,4,MOH,-0.834423,35.9651
OLMESUTIE DISP,LOITA,OLMESUTIE,NAROK,NAROK SOUTH,4,MOH,-1.9071,35.6802
OLOLPIRONITO DISP,OLOKURTO,OLORROPIL,NAROK,NAROK SOUTH,4,MOH,-0.904242,35.907
OLPASIMORU DISP,OLOKURTO,OLPUSIMORU,NAROK,NAROK SOUTH,4,MOH,-0.56756,35.725
SAKUTIEK DISP,MAU,UPPER MELILI,NAROK,NAROK SOUTH,4,MOH,-0.869979,36.135248
SEKENANI DISP,MARA,KOYAKI,NAROK,NAROK SOUTH,4,MOH,-1.44312,35.393
BARSALOI DISP,KIRISIA,BARSALOI,SAMBURU,SAMBURU NORTH,4,MOH,1.4362,36.8419
KIRIMON NYS DISP,LORROKI,KIRIMON,SAMBURU,SAMBURU NORTH,4,MOH,0.822004,36.9082
KIRIMUN DISP,LORROKI,KIRIMON,SAMBURU,SAMBURU NORTH,4,MOH,0.798232,36.8775
KISIMA DISP,LORROKI,KISIMA,SAMBURU,SAMBURU NORTH,4,MOH,0.94532,36.76301
LATAKWENY DISP,BARAGOI,LATAKWENY,SAMBURU,SAMBURU NORTH,4,MOH,1.5724,37.0924
LERATA DISP,WASO,WASO EAST,SAMBURU,SAMBURU NORTH,4,MOH,0.767468,37.5851
LODONGOKWE DISP,WAMBA,NGARONI,SAMBURU,SAMBURU NORTH,4,MOH,0.967432,37.1949
LONGEWAN DISP,LORROKI,AMAIYA,SAMBURU,SAMBURU NORTH,4,MOH,0.8924,36.5312
LOOSUK DISP,KIRISIA,LOOSUK,SAMBURU,SAMBURU NORTH,4,MOH,1.0235,36.5878
MARTI DISP,BARAGOI,SUYAN,SAMBURU,SAMBURU NORTH,4,MOH,1.54775,36.7446
NACHOLA DISP,BARAGOI,NACHOLA,SAMBURU,SAMBURU NORTH,4,MOH,1.77568,36.5782
NDONYO UASIN DISP,WASO,SELEOLIPI,SAMBURU,SAMBURU NORTH,4,MOH,1.29185,37.5348
OPIROI DISP,KIRISIA,OPIROI,SAMBURU,SAMBURU NORTH,4,MOH,1.19421,36.8415
OROMODII DISP,WAMBA,NAIRIMIRIMO,SAMBURU,SAMBURU NORTH,4,MOH,1.25412,36.95124
PORRO DISP,KIRISIA,PORO,SAMBURU,SAMBURU NORTH,4,MOH,1.27227,36.5992
SEROLIPI DISP,WASO,SELEOLIPI,SAMBURU,SAMBURU NORTH,4,MOH,1.1244,37.6199
SIRATA OIROBI DISP,KIRISIA,SIRATA-OIROBI,SAMBURU,SAMBURU NORTH,4,MOH,1.05049,36.64855
SOUTH HORR DISP,NYIRO,SOUTH HORR,SAMBURU,SAMBURU NORTH,4,MOH,2.12806,36.8956
SWARI DISP,WAMBA,NAIRIMIRIMO,SAMBURU,SAMBURU NORTH,4,MOH,1.16879,37.0928
TUUM DISP,NYIRO,TUUM,SAMBURU,SAMBURU NORTH,4,MOH,2.14624,36.7824
WESTGATE DISP,WASO,WASO EAST,SAMBURU,SAMBURU NORTH,4,MOH,0.67124,37.48124
EMURUA DIKIRR DISP,KIRINDONI,MURKAN,NAROK,NAROK SOUTH,4,MOH,-0.965325,35.0759
ILIKERIN DISP,KIRINDONI,MURKAN,NAROK,NAROK SOUTH,4,MOH,-1.049882,35.061875
KABOLECHO DISP,KIRINDONI,EMARTI,NAROK,NAROK SOUTH,4,MOH,-1.010148,35.141361
KAMAGEK,KIRINDONI,MURKAN,NAROK,NAROK SOUTH,4,MOH,-1.024171,35.015118
KAPSASIAN DISP,KIRINDONI,EMARTI,NAROK,NAROK SOUTH,4,MOH,-0.968076,35.129671
KAPWERIA DISP,PIRRAR,OLOLMASANI,NAROK,NAROK SOUTH,4,MOH,-0.935549,35.075519
KERINKANI DISP,LOLGORIAN,OLORIEN,NAROK,NAROK SOUTH,4,MOH,-1.33878,34.8527
KIRINDONI DISP,KIRINDONI,KIMINTET,NAROK,NAROK SOUTH,4,MOH,-1.10379,35.066
KURONGURIK DISP,KIRINDONI,MURKAN,NAROK,NAROK SOUTH,4,MOH,-1.00781,35.066551
MEGUARA DISP-ROMOSHA,PIRRAR,MEGWARA,NAROK,NAROK SOUTH,4,MOH,-0.914285,34.958038
NGANAIYO DISP,KILGORIS,OLOMISMIS,NAROK,NAROK SOUTH,4,MOH,-1.039574,34.920893
OSUPUKO DISP,KILGORIS,OSUPUKO,NAROK,NAROK SOUTH,4,MOH,-0.939,34.893
SHANKOE DISP,KILGORIS,SHANKOE,NAROK,NAROK SOUTH,4,MOH,-0.958372,34.7549
CHEPCHOINA DISP,ENDEBESS,CHEPCHOINA,TRANS NZOIA,ENDEBESS,4,MOH,1.21123,34.7512
CHEPSIRO DISP,CHERANGANY,CHEPSIRO,TRANS NZOIA,ENDEBESS,4,MOH,0.99231,35.3321
CHERANGANY DISP,CHERANGANY,CHERANGANY,TRANS NZOIA,ENDEBESS,4,MOH,0.97916,35.2181
GITWAMBA DISP,SABOTI,SABOTI,TRANS NZOIA,ENDEBESS,4,MOH,0.94214,34.8212
GOSETA DISP,CENTRAL,KIBOMET,TRANS NZOIA,ENDEBESS,4,MOH,1.04,35.03
KAIBEI DISP,ENDEBESS,KAIBEI,TRANS NZOIA,ENDEBESS,4,MOH,1.11423,34.7721
KAISAGAT DISP,KWANZA,KAISAGAT,TRANS NZOIA,ENDEBESS,4,MOH,1.12,35.07
KAPKOI DISP,KWANZA,KAPOMBOI,TRANS NZOIA,ENDEBESS,4,MOH,1.22635,34.918
KAPSITWET DISP,KWANZA,KWANZA,TRANS NZOIA,ENDEBESS,4,MOH,1.080684,34.96343
KOBOS DISP,KWANZA,KAPOMBOI,TRANS NZOIA,ENDEBESS,4,MOH,1.099,34.9263
MOTOSIETI DISP,KAPLAMAI,MOTOSIET,TRANS NZOIA,ENDEBESS,4,MOH,1.02411,35.1523
MT. ELGON DISP,ENDEBESS,ENDEBESS,TRANS NZOIA,ENDEBESS,4,MOH,1.0522,34.8011
NZOIA DISP,CHERANGANY,CHERANGANY,TRANS NZOIA,ENDEBESS,4,MOH,0.96241,35.1942
TOP STATION DISP,CENTRAL,MUNICIPALITY,TRANS NZOIA,ENDEBESS,4,MOH,1.03224,34.9941
TULWET H C,CENTRAL,WAITALUK,TRANS NZOIA,ENDEBESS,4,MOH,0.92,35.01
WEONIA DISP,KIMININI,KIMININI,TRANS NZOIA,ENDEBESS,4,MOH,0.88412,34.8521
WEYETA DISP,KAPLAMAI,SITATUNGA,TRANS NZOIA,ENDEBESS,4,MOH,1.078039,35.106851
AP KIBISHI DISP,KIBISH,NAITA,TURKANA,TURKANA NORTH,4,MOH,5.2123,35.6412
ELELEA DISP,LOKORI,KATILIA,TURKANA,TURKANA NORTH,4,MOH,2.141,36.372
ELIYE SPRINGS DISP,KALOKOL,KANGATOTHA,TURKANA,TURKANA NORTH,4,MOH,3.24266,36.0402
KAALENG DISP,KAALING,KAERIS,TURKANA,TURKANA NORTH,4,MOH,3.90231,35.38123
KAERIS DISP,KAALING,KAERIS,TURKANA,TURKANA NORTH,4,MOH,4.03175,35.5928
KAIKOR DISP,KAALING,KAIKOR,TURKANA,TURKANA NORTH,4,MOH,4.72124,35.34123
KAINUK DISP,KAINUK,KAINUK,TURKANA,TURKANA NORTH,4,MOH,1.84694,35.6562
KANAKURUDIO DISP,LOKITAUNG,KATABOI,TURKANA,TURKANA NORTH,4,MOH,3.82112,35.7124
KANGATOSSA DISP,KALOKOL,KANGATOTHA,TURKANA,TURKANA NORTH,4,MOH,3.16336,36.1138
KERIO DISP,KALOKOL,KANGATOTHA,TURKANA,TURKANA NORTH,4,MOH,3.10457,35.9915
KOYASA DISP,KIBISH,NAITA,TURKANA,TURKANA NORTH,4,MOH,4.9912,35.5112
LOCHWA DISP,LOKICHAR,LOCHWANGAMATAK,TURKANA,TURKANA NORTH,4,MOH,2.63871,35.7197
LOCHWAANGAMATAK DISP,LOKICHAR,LOCHWANGAMATAK,TURKANA,TURKANA NORTH,4,MOH,2.79122,35.64123
LOKIAMA DISP,LOIMA,LOKIRIAMA,TURKANA,TURKANA NORTH,4,MOH,2.73124,34.84123
LOKIRIAM DISP,LOIMA,LOKIRIAMA,TURKANA,TURKANA NORTH,4,MOH,2.79123,34.88124
LOKUDULEE DISP,KAKUMA,PELEKECH,TURKANA,TURKANA NORTH,4,MOH,3.95486,34.8816
LOKWII DISP,LOKORI,LOKORI,TURKANA,TURKANA NORTH,4,MOH,2.02338,36.3584
LOMELO DISP,LOMELO,LOMELO,TURKANA,TURKANA NORTH,4,MOH,1.43688,36.2472
LOPUR DISP,KAKUMA,PELEKECH,TURKANA,TURKANA NORTH,4,MOH,3.78752,34.9586
LOROGON DISP,KAINUK,KAPUTIR,TURKANA,TURKANA NORTH,4,MOH,1.93212,35.4121
MACHEKWI DISPESARY,KALOKOL,NAMUKUSE,TURKANA,TURKANA NORTH,4,MOH,3.45123,35.9211
MAKUTANO DISP,KAALING,KAERIS,TURKANA,TURKANA NORTH,4,MOH,3.66088,35.4116
NAMAKUSE DISP,KALOKOL,NAMUKUSE,TURKANA,TURKANA NORTH,4,MOH,3.543094,35.919286
TURKWEL DISP,TURKWEL,LORUGUM,TURKANA,TURKANA NORTH,4,MOH,2.98245,35.466
BONSOMBE DISP,SOY,KOISAGAT,UASIN GISHU,AINABKOI,4,MOH,0.892526,35.3301
CENGALO DISP,KESSES,OL'LEINGUSE,UASIN GISHU,AINABKOI,4,MOH,0.140206,35.3826
CHEBURBUI DISP,MOIBEN,KIMONING,UASIN GISHU,AINABKOI,4,MOH,0.62114,35.4321
CHEMBULET DISP,MOIBEN,SERGOIT,UASIN GISHU,AINABKOI,4,MOH,0.666733,35.4175
CHEPSAITA DISP PROPOSED,TURBO,NGENYILEL,UASIN GISHU,AINABKOI,4,MOH,0.571652,34.8947
CHUIROT DISP,SOY,KIPLOMBE,UASIN GISHU,AINABKOI,4,MOH,0.64214,35.3014
CHUIYAT DISP,KESSES,TULWET,UASIN GISHU,AINABKOI,4,MOH,0.255207,35.3392
CHUKURA DISP,SOY,MOI'S BRIDGE,UASIN GISHU,AINABKOI,4,MOH,0.856108,35.1553
ELGEYO BORDER DISP,MOIBEN,TEMBELIO,UASIN GISHU,AINABKOI,4,MOH,0.548374,35.4175
ELGEYO DISP,MOIBEN,TEMBELIO,UASIN GISHU,AINABKOI,4,MOH,0.54321,35.4421
KAPNGETUNY DISP,AINABKOI,KAPNGE'TUNY,UASIN GISHU,AINABKOI,4,MOH,0.136848,35.5705
KAPSAOS DISP,TURBO,KAPYEMIT,UASIN GISHU,AINABKOI,4,MOH,0.58341,35.2441
KAPSARET DISP,KAPSARET,KAPSARET,UASIN GISHU,AINABKOI,4,MOH,0.49231,35.1742
KAPTAT DISP,AINABKOI,KAPTAGAT,UASIN GISHU,AINABKOI,4,MOH,0.46241,35.4441
KAPTELDON DISP,KAPSARET,KAPSARET,UASIN GISHU,AINABKOI,4,MOH,0.477149,35.2004
KARUNA DISP,MOIBEN,KARUNA,UASIN GISHU,AINABKOI,4,MOH,0.746853,35.4813
KATUIYO DISP,AINABKOI,KIPKUBUS,UASIN GISHU,AINABKOI,4,MOH,0.329864,35.4193
KESSES DISP,KESSES,KESSES,UASIN GISHU,AINABKOI,4,MOH,0.271595,35.2828
KIMONING DISP,MOIBEN,KIMONING,UASIN GISHU,AINABKOI,4,MOH,0.590255,35.4594
KIMOTHON FOREST DISP,SOY,KIPSOMBA,UASIN GISHU,AINABKOI,4,MOH,0.78463,35.236661
KIPKABUS DISP,AINABKOI,CHEPNG'OROR,UASIN GISHU,AINABKOI,4,MOH,0.266133,35.4794
KIPKURERE DISP,KESSES,TIMBOROA,UASIN GISHU,AINABKOI,4,MOH,0.08,35.43
KIPLOMBE DISP,SOY,KIPLOMBE,UASIN GISHU,AINABKOI,4,MOH,0.626596,35.223923
KIPTOGOT FOREST DISP UASIN GISHU,MOIBEN,KARUNA,UASIN GISHU,AINABKOI,4,MOH,0.76079,35.408313
MEIBEKI DISP,MOIBEN,MEIBEKI,UASIN GISHU,AINABKOI,4,MOH,0.888884,35.3829
MOI'S BRIDGE DISP,SOY,MOI'S BRIDGE,UASIN GISHU,AINABKOI,4,MOH,0.910735,35.1262
NABKOI DISP,KESSES,OL'LEINGUSE,UASIN GISHU,AINABKOI,4,MOH,0.094967,35.4521
NGENYILEL DISP,TURBO,NGENYILEL,UASIN GISHU,AINABKOI,4,MOH,0.564368,34.9748
NGERIA DISP,KESSES,MEGUN,UASIN GISHU,AINABKOI,4,MOH,0.384492,35.3247
SABOR DISP UASIN GISHU,AINABKOI,KAPNGE'TUNY,UASIN GISHU,AINABKOI,4,MOH,0.17231,35.5641
SAMBUT DISP,TURBO,KAMAGUT,UASIN GISHU,AINABKOI,4,MOH,0.635844,35.1469
SENGALO DISP,KESSES,TARAKWA,UASIN GISHU,AINABKOI,4,MOH,0.28124,35.3941
SERGOIT DISP,MOIBEN,SERGOIT,UASIN GISHU,AINABKOI,4,MOH,0.69421,35.3521
SIRIKWA DISP,SOY,SIRIKWA,UASIN GISHU,AINABKOI,4,MOH,0.86214,35.2834
TANGASIR DISP,MOIBEN,MEIBEKI,UASIN GISHU,AINABKOI,4,MOH,0.923884,35.3919
TARAKWA DISP,SOY,KIPSOMBA,UASIN GISHU,AINABKOI,4,MOH,0.75862,35.1929
