facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
DANABA DISP,GURAR,DANABA,WAJIR,WAJIR WEST,4,MOH,3.280454,39.731182
DIFF DISP,DIFF,DIFF,WAJIR,WAJIR WEST,4,MOH,0.986078,40.984295
ELBEN DISP,TARBAJ,ELBEN,WAJIR,WAJIR WEST,4,MOH,2.532,40.2461
ELDAS DISP,ELDAS,ELDAS,WAJIR,WAJIR WEST,4,MOH,2.407958,39.638052
GURAR DISP,GURAR,GURAR,WAJIR,WAJIR WEST,4,MOH,3.298583,39.548819
MANSA DISP,TARBAJ,MANZA,WAJIR,WAJIR WEST,4,MOH,2.992912,40.153837
SABULI DISP,SEBULE,SEBULE,WAJIR,WAJIR WEST,4,MOH,0.233169,40.309499
SARIF DISP,SEBULE,SARIF,WAJIR,WAJIR WEST,4,MOH,0.682761,40.546779
TULATULA DISP,GRIFTU,TULATULA,WAJIR,WAJIR WEST,4,MOH,1.880258,39.764579
WAGALLA DISP,GRIFTU,WAGALLA,WAJIR,WAJIR WEST,4,MOH,1.785442,39.931893
WAJIR BOR DISP,WAJIR-BOR,KHOROF-HARAR,WAJIR,WAJIR WEST,4,MOH,1.954284,40.805737
KABETE TECHNICAL AND TRADE DISP,WESTLANDS,KITISURU,NAIROBI,KAMUKUNJI,4,MOH,-1.26114,36.72543
KICC DISP,CENTRAL,STAREHE,NAIROBI,KAMUKUNJI,4,MOH,-1.28704,36.8228
P & T MCH DISP,KASARANI,RUARAKA,NAIROBI,KAMUKUNJI,4,MOH,-1.247265,36.872106
SPECIAL STD DISP,CENTRAL,STAREHE,NAIROBI,KAMUKUNJI,4,MOH,-1.27904,36.82471
STATE HOUSE DISP,WESTLANDS,KILIMANI,NAIROBI,KAMUKUNJI,4,MOH,-1.28435,36.79915
UHURU AP CAMP DISP,DAGORETTI,KENYATTA/GOLF COURSE,NAIROBI,KAMUKUNJI,4,MOH,-1.29582,36.80617
ULINZI HOUSE MIR DISP,WESTLANDS,KILIMANI,NAIROBI,KAMUKUNJI,4,MOH,-1.28994,36.79868
UTALII COLLEGE DISP,KASARANI,RUARAKA,NAIROBI,KAMUKUNJI,4,MOH,-1.25503,36.85362
WILSON AIRPORT DISP,KIBERA,NAIROBI WEST,NAIROBI,KAMUKUNJI,4,MOH,-1.30921,36.80738
ANYUONGI DISP,BONDO,SOUTH SAKWA,SIAYA,UGENYA,4,MOH,-0.17618,34.27613
GOBEI DISP,BONDO,BONDO TOWNSHIP,SIAYA,UGENYA,4,MOH,-0.09021,34.2905
GOT MATAR DISP,USIGU,NORTH YIMBO,SIAYA,UGENYA,4,MOH,-0.0309,34.1315
KAGWA DISP,MADIANY,WEST UYOMA,SIAYA,UGENYA,4,MOH,-0.22851,34.25665
KAPIYO DISP,BONDO,S.W. SAKWA,SIAYA,UGENYA,4,MOH,-0.08601,34.17491
MAGETA DISP,USIGU,MAGETA ISLAND,SIAYA,UGENYA,4,MOH,-0.1325,34.0103
MAHAYA DISP,RARIEDA,WEST  ASEMBO,SIAYA,UGENYA,4,MOH,-0.16223,34.34066
MASALA DISP,MADIANY,CENTRAL UYOMA,SIAYA,UGENYA,4,MOH,-0.20811,34.292727
MISORI DISP,MADIANY,WEST UYOMA,SIAYA,UGENYA,4,MOH,-0.31856,34.278
NAYA DISP,MADIANY,SOUTH UYOMA,SIAYA,UGENYA,4,MOH,-0.36255,34.3121
NYAGOKO DISP,RARIEDA,SOUTH ASEMBO,SIAYA,UGENYA,4,MOH,-0.17535,34.29557
ONGIELO DISP,RARIEDA,EAST ASEMBO,SIAYA,UGENYA,4,MOH,-0.16875,34.377777
ULUNGO DISP,USIGU,NORTH YIMBO,SIAYA,UGENYA,4,MOH,0.01815,34.10807
USIGU DISP,USIGU,CENTRAL YIMBO,SIAYA,UGENYA,4,MOH,-0.0568,34.0994
UYAWI DISP,BONDO,CENTRAL SAKWA,SIAYA,UGENYA,4,MOH,-0.16139,34.16597
BOIGE DISP,NYAMARAMBE,NYAKEMBENE,KISII,NYARIBARI CHACHE,4,MOH,-0.83089,34.66809
EBEREGE DISP,KENYENYA,MAGENCHE,KISII,NYARIBARI CHACHE,4,MOH,-0.9121,34.72132
ETAGO DISP,ETAGO,GETENGA,KISII,NYARIBARI CHACHE,4,MOH,-0.902367,34.6593
GESABAKWA DISP,NYACHEKI,BASSI BOGETAORIO,KISII,NYARIBARI CHACHE,4,MOH,-0.89926,34.82809
KENYERERE  DISP,SAMETA,MOKWERERO,KISII,NYARIBARI CHACHE,4,MOH,-0.782267,34.7811
KIONYO DISP,NYAMACHE,BASSI MASIGE EAST,KISII,NYARIBARI CHACHE,4,MOH,-0.814067,34.7763
MAGENA DISP,KENYENYA,MAJOGE BORABU,KISII,NYARIBARI CHACHE,4,MOH,-0.90464,34.7966
MAGENCHE DISP,KENYENYA,MAGENCHE,KISII,NYARIBARI CHACHE,4,MOH,-0.94649,34.72318
MISESI DISP,OGEMBO,MAJOGE CHACHE,KISII,NYARIBARI CHACHE,4,MOH,-0.74101,34.68447
MOTICHO DISP,ETAGO,GETENGA,KISII,NYARIBARI CHACHE,4,MOH,-0.886617,34.6315
NYANSAKIA DISP,SAMETA,BASSI CHACHE,KISII,NYARIBARI CHACHE,4,MOH,-0.75958,34.74936
NYATIKE DISP,NYAMARAMBE,S. MUGIRANGO CHACHE,KISII,NYARIBARI CHACHE,4,MOH,-0.74203,34.63857
KANYAMKAGO OBER DISP,RIANA,CENTRAL KABUOCH,HOMA BAY,RANGWE,4,MOH,-0.69557,34.51781
LAMBWE FOREST DISP,NDHIWA,WEST KANYAMWA,HOMA BAY,RANGWE,4,MOH,-0.67757,34.307
MALELA DISP,NDHIWA,NORTH KANYAMWA,HOMA BAY,RANGWE,4,MOH,-0.58486,34.39193
MARINDI DISP,ASEGO,EAST KANYADA,HOMA BAY,RANGWE,4,MOH,-0.663833,34.5061
NYARONGI DISP,NYARONGI,WEST KWAMBWAI,HOMA BAY,RANGWE,4,MOH,-0.75899,34.26434
OBER KABUOCH DISP,RIANA,WEST KABUOCH,HOMA BAY,RANGWE,4,MOH,-0.75021,34.4258
OMBO KACHIENG DISP,RIANA,WEST KABUOCH,HOMA BAY,RANGWE,4,MOH,-0.73978,34.4653
OYARO DISP,NDHIWA,WEST KANYAMWA,HOMA BAY,RANGWE,4,MOH,-0.72574,34.36588
RAPETH DISP,NYARONGI,CENTRAL KANYIDOTO,HOMA BAY,RANGWE,4,MOH,-0.76837,34.35348
